strategy,qid,category,recall,rr,ndcg,retrieved
naive,Q01,single_hop,1.0,1.0,1.0,SEP-v3_0|SEP-v2_0|SEP-v1_0
naive,Q02,single_hop,1.0,1.0,1.0,SEP-v2_0|SEP-v1_0|SEP-v3_0|AMS-v2_0
naive,Q03,single_hop,1.0,0.25,0.43067655807339306,AMS-v2_0|AMS-v1_0|SEP-v3_0|AMS-v3_0|SEP-v2_0
naive,Q04,single_hop,1.0,0.5,0.6309297535714575,AKI-v1_0|AKI-v2_0|AMS-v1_0
naive,Q05,single_hop,1.0,1.0,1.0,HF-v1_0|HF-v2_0|MAT-v2_0|MAT-v1_0|AKI-v2_0
naive,Q06,single_hop,1.0,1.0,1.0,DIA-v1_0|DIA-v2_0|DIA-v3_0|AMS-v3_0|AMS-v2_0
naive,Q07,single_hop,1.0,1.0,1.0,STR-v1_0|STR-v2_0|ANTI-v1_0
naive,Q08,single_hop,1.0,1.0,1.0,ANTI-v1_0|ANTI-v2_0|STR-v2_0|STR-v1_0|VTE-v1_0
naive,Q09,single_hop,1.0,1.0,1.0,VTE-v1_0|VTE-v2_0|ANTI-v2_0
naive,Q10,single_hop,1.0,0.5,0.6309297535714575,MAT-v2_0|MAT-v1_0|DEL-v1_0|ANTI-v2_0
naive,Q11,single_hop,1.0,1.0,1.0,DEL-v1_0|STR-v1_0|AMS-v2_0|SEP-v2_0|MAT-v2_0
naive,Q12,single_hop,1.0,1.0,1.0,HF-v2_0|HF-v1_0
naive,Q13,single_hop,1.0,1.0,1.0,SEP-v2_0|SEP-v1_0|SEP-v3_0
naive,Q14,single_hop,1.0,1.0,1.0,ANTI-v1_0|ANTI-v2_0|STR-v1_0|VTE-v1_0|STR-v2_0
naive,Q15,single_hop,1.0,0.3333333333333333,0.5,AMS-v1_0|AMS-v3_0|AMS-v2_0
naive,Q16,single_hop,1.0,1.0,1.0,MAT-v1_0|SEP-v3_0|MAT-v2_0|SEP-v2_0
