qid,category,hops,question,relevant_doc_ids,reference_answer
Q01,single_hop,1,What is the time target to deliver the Sepsis Six bundle after recognition?,SEP-v3_0,Within one hour of recognition.
Q02,single_hop,1,Which score replaced SIRS for sepsis screening in the 2019 sepsis pathway?,SEP-v2_0,qSOFA together with NEWS2.
Q03,single_hop,1,What is the first-line empirical antibiotic for severe sepsis of unknown source?,AMS-v3_0,Piperacillin-tazobactam.
Q04,single_hop,1,How is Stage 3 acute kidney injury defined by KDIGO creatinine criteria?,AKI-v2_0,"A 3.0 times or greater rise in serum creatinine, or starting dialysis."
Q05,single_hop,1,What NT-proBNP level warrants urgent echocardiography in heart failure?,HF-v1_0,"Above 2000 ng/L, with echo within two weeks."
Q06,single_hop,1,At what eGFR should metformin be stopped?,DIA-v1_0,When eGFR is below 30 mL/min.
Q07,single_hop,1,What imaging must be done before stroke thrombolysis?,STR-v1_0,Urgent non-contrast CT brain to exclude haemorrhage.
Q08,single_hop,1,Which agent reverses dabigatran?,ANTI-v1_0,Idarucizumab.
Q09,single_hop,1,Within how many hours of admission must VTE risk be assessed in the 2018 pathway?,VTE-v1_0,Within 14 hours.
Q10,single_hop,1,Which medication prevents and treats eclamptic seizures?,MAT-v1_0,Magnesium sulphate.
Q11,single_hop,1,Which tool is used to screen for delirium?,DEL-v1_0,The 4AT tool.
Q12,single_hop,1,What is the four-pillar therapy for heart failure with reduced ejection fraction?,HF-v2_0,"ARNI/ACE inhibitor, beta-blocker, mineralocorticoid receptor antagonist, and SGLT2 inhibitor."
Q13,single_hop,1,What mean arterial pressure target defines the vasopressor goal in septic shock?,SEP-v2_0,65 mmHg or above.
Q14,single_hop,1,Which scoring tools assess stroke risk and bleeding risk in atrial fibrillation?,ANTI-v1_0,CHA2DS2-VASc for stroke risk and HAS-BLED for bleeding risk.
Q15,single_hop,1,What is the default antibiotic course length in the 2021 stewardship pathway?,AMS-v2_0,Five days for uncomplicated infections.
Q16,single_hop,1,Which early warning score is used for pregnant patients?,MAT-v1_0,MEOWS (Modified Early Obstetric Warning Score).
Q17,single_hop,1,What thrombolytic alternative to alteplase is accepted in the 2023 stroke pathway?,STR-v2_0,Tenecteplase.
Q18,single_hop,1,What urine output threshold signals Stage 1 AKI in the 2022 pathway?,AKI-v2_0,Less than 0.5 mL/kg/hour for six hours.
Q19,single_hop,1,What HbA1c value diagnoses type 2 diabetes?,DIA-v1_0,48 mmol/mol (6.5%) or above.
Q20,single_hop,1,What first-line oral drug is used for severe hypertension in pre-eclampsia?,MAT-v2_0,Labetalol.
Q21,multi_hop,3,"A septic patient has worsening kidney function. Which pathway sets the antibiotic renal dose, and which one tells you to detect the falling eGFR?",SEP-v3_0|AMS-v3_0|AKI-v2_0,"Sepsis pathway directs to the Antimicrobial Stewardship Pathway for renal dosing, and the Acute Kidney Injury Pathway for eGFR detection."
Q22,multi_hop,3,"For a pregnant woman with sepsis, which two pathways together decide antibiotic choice?",MAT-v2_0|AMS-v3_0|SEP-v3_0,"The Maternal Deterioration Pathway plus the Antimicrobial Stewardship Pathway, triggered through the Adult Sepsis Pathway, using pregnancy-safe agents."
Q23,multi_hop,2,A stroke patient is on a factor Xa inhibitor. Which pathway covers reversal before thrombolysis?,STR-v2_0|ANTI-v2_0,"The Stroke Pathway sends you to the Anticoagulation and Bleeding Risk Pathway, which uses andexanet alfa or prothrombin complex concentrate."
Q24,multi_hop,3,"A heart failure patient develops sepsis. How should fluid resuscitation differ, and which pathways govern this?",HF-v2_0|SEP-v3_0|AKI-v2_0,"Use small 250-500 mL aliquots with reassessment to avoid overload, coordinated between the Heart Failure, Sepsis, and AKI pathways."
Q25,multi_hop,2,"After anticoagulation is held for bleeding, which pathway decides when to restart VTE prophylaxis?",VTE-v2_0|ANTI-v2_0,The VTE Prevention Pathway coordinates restart with the Anticoagulation and Bleeding Risk Pathway.
Q26,multi_hop,2,A diabetic patient becomes acutely unwell with falling kidney function. Which drugs are held and which pathway guides eGFR monitoring?,DIA-v3_0|AKI-v2_0,Hold metformin and SGLT2 inhibitors per sick day rules; the Acute Kidney Injury Pathway guides eGFR monitoring.
Q27,multi_hop,3,An older patient with infection develops delirium. Which pathways together cover the trigger and the correct antibiotic dosing?,DEL-v1_0|SEP-v2_0|AMS-v2_0,The Delirium Pathway identifies infection/sepsis as a trigger; the Sepsis and Antimicrobial Stewardship pathways ensure correct renal antibiotic dosing.
Q28,multi_hop,2,Which pathway holds the eGFR dose bands that the AKI pathway refers to for vancomycin and gentamicin?,AKI-v2_0|AMS-v2_0,The Antimicrobial Stewardship Pathway holds the eGFR dose bands referenced by the AKI Pathway.
Q29,multi_hop,2,"For a patient on a DOAC needing surgery, which pathway covers interruption timing and which covers restarting clot prevention?",ANTI-v2_0|VTE-v2_0,The Anticoagulation Pathway covers peri-procedural interruption; the VTE Prevention Pathway covers prophylaxis restart.
Q30,multi_hop,2,Maternal sepsis is suspected. Which screening score is used and which pathway sets the bundle?,MAT-v2_0|SEP-v3_0,"Use MEOWS triggers from the Maternal Pathway, applying the Sepsis Six bundle from the Adult Sepsis Pathway."
Q31,multi_hop,2,A diabetic heart-failure patient needs glucose therapy with cardiac benefit. Which class is advised and which pathway flags fluid caution during illness?,DIA-v2_0|HF-v2_0,SGLT2 inhibitors are advised; the Heart Failure Pathway flags fluid caution during acute illness.
Q32,multi_hop,2,"When sepsis causes AKI, which pathway warns about fluid overload and which sets the resuscitation bundle?",AKI-v2_0|SEP-v3_0,The AKI Pathway warns on fluid overload; the Sepsis Pathway sets the Sepsis Six bundle.
Q33,multi_hop,2,A patient with penicillin allergy has severe sepsis. Which pathway gives the alternative regimen and which sets the one-hour antibiotic target?,AMS-v3_0|SEP-v3_0,The Antimicrobial Stewardship Pathway gives ciprofloxacin plus metronidazole; the Sepsis Pathway sets the one-hour first dose.
Q34,multi_hop,3,Which two pathways must be consulted to manage anticoagulation in a stroke patient who is also at venous thromboembolism risk?,ANTI-v2_0|VTE-v2_0|STR-v2_0,"The Anticoagulation, VTE Prevention, and Stroke pathways together."
Q35,multi_hop,2,"Where is contrast-related kidney injury covered, and where are the antibiotic renal doses for the same patient?",AKI-v1_0|AMS-v1_0,Contrast caution is in the AKI Pathway; antibiotic renal doses are in the Antimicrobial Stewardship Pathway.
Q36,temporal,2,How did sepsis screening change between the 2014 and 2019 pathways?,SEP-v1_0|SEP-v2_0,It moved from SIRS criteria (2014) to qSOFA plus NEWS2 (2019).
Q37,temporal,2,How did the initial fluid bolus advice change from the 2014 to the 2024 sepsis pathway?,SEP-v1_0|SEP-v3_0,From a single 30 mL/kg bolus to smaller 250-500 mL aliquots with reassessment using balanced crystalloid.
